ABSORBED WATER SUMMARY (Summed)
-------------------------------
Rainfall total             : 1188898679880.000000
Absorbed Iteration 1 total: 286496703318.500000
Absorbed Iteration 2 total: 201601053749.031250
Absorbed Iteration 3 total: 144853171506.437500
Absorbed Iteration 4 total: 105562637596.207031
Absorbed Iteration 5 total: 78776672828.801758
Absorbed Iteration 6 total: 60190564563.445312
Absorbed Iteration 7 total: 46984600320.340820
Absorbed Iteration 8 total: 37364118431.361816
Absorbed Iteration 9 total: 30199691893.994598
Absorbed Iteration 10 total: 24757441776.295784
Absorbed Iteration 11 total: 20554356347.835938
Absorbed Iteration 12 total: 17260142021.613304
Absorbed Iteration 13 total: 14643013956.077866
Absorbed Iteration 14 total: 12537791245.323862
Absorbed Iteration 15 total: 10824672684.690420
Absorbed Iteration 16 total: 9415497896.109318
Absorbed Iteration 17 total: 8244569281.499785
Absorbed Iteration 18 total: 7262373503.377824
Absorbed Iteration 19 total: 6431206305.313675
Absorbed Iteration 20 total: 5722076465.000075
Absorbed Iteration 21 total: 5112487497.841632
Absorbed Iteration 22 total: 4584827731.119179
Absorbed Iteration 23 total: 4125190618.455869
Absorbed Iteration 24 total: 3722502376.181998
Absorbed Iteration 25 total: 3367871333.341959
Absorbed Iteration 26 total: 3054098728.613505
Absorbed Iteration 27 total: 2775309426.425438
Absorbed Iteration 28 total: 2526669429.707419
Absorbed Iteration 29 total: 2304170834.376715
Absorbed Iteration 30 total: 2104464842.123376
Absorbed Iteration 31 total: 1924732979.670474
Absorbed Iteration 32 total: 1762586557.682789
Absorbed Iteration 33 total: 1615987426.047547
Absorbed Iteration 34 total: 1483185808.760565
Absorbed Iteration 35 total: 1362670597.141436
Absorbed Iteration 36 total: 1253129835.041899
Absorbed Iteration 37 total: 1153418683.159779
Absorbed Iteration 38 total: 1062533630.946929
Absorbed Iteration 39 total: 979591361.254082
Absorbed Iteration 40 total: 903811425.624736
Absorbed Iteration 41 total: 834501894.818294
Absorbed Iteration 42 total: 771047411.567309
Absorbed Iteration 43 total: 712899188.108487
Absorbed Iteration 44 total: 659566567.937293
Absorbed Iteration 45 total: 610609860.242048
Absorbed Iteration 46 total: 565634224.292793
Absorbed Iteration 47 total: 524284448.715903
Absorbed Iteration 48 total: 486240398.276363
Absorbed Iteration 49 total: 451213102.825244
Absorbed Iteration 50 total: 418941370.561444
Absorbed Iteration 51 total: 389188787.783756
Absorbed Iteration 52 total: 361741099.558938
Absorbed Iteration 53 total: 336403946.102363
Absorbed Iteration 54 total: 313000786.565089
Absorbed Iteration 55 total: 291371127.358431
Absorbed Iteration 56 total: 271368940.217795
Absorbed Iteration 57 total: 252861216.341333
Absorbed Iteration 58 total: 235726721.780984
Absorbed Iteration 59 total: 219854852.630503
Absorbed Iteration 60 total: 205144642.696570
Absorbed Iteration 61 total: 191503849.441301
Absorbed Iteration 62 total: 178848123.261088
Absorbed Iteration 63 total: 167100319.637747
Absorbed Iteration 64 total: 156189792.213055
Absorbed Iteration 65 total: 146051833.528253
Absorbed Iteration 66 total: 136627139.183066
Absorbed Iteration 67 total: 127861294.700691
Absorbed Iteration 68 total: 119704382.130360
Absorbed Iteration 69 total: 112110549.857245
Absorbed Iteration 70 total: 105037677.580438
Absorbed Iteration 71 total: 98447039.206268
Absorbed Iteration 72 total: 92303010.848914
Absorbed Iteration 73 total: 86572818.262195
Absorbed Iteration 74 total: 81226268.974650
Absorbed Iteration 75 total: 76235561.732282
Absorbed Iteration 76 total: 71575052.519213
Absorbed Iteration 77 total: 67221106.348461
Absorbed Iteration 78 total: 63151904.151694
Absorbed Iteration 79 total: 59347311.587669
Absorbed Iteration 80 total: 55788723.373444
Absorbed Iteration 81 total: 52458953.162970
Absorbed Iteration 82 total: 49342105.824380
Absorbed Iteration 83 total: 46423481.660720
Absorbed Iteration 84 total: 43689476.679440
Absorbed Iteration 85 total: 41127493.761310
Absorbed Iteration 86 total: 38725864.157048
Absorbed Iteration 87 total: 36473775.871238
Absorbed Iteration 88 total: 34361198.550475
Absorbed Iteration 89 total: 32378834.887869
Absorbed Iteration 90 total: 30518053.789211
Absorbed Iteration 91 total: 28770838.797063
Absorbed Iteration 92 total: 27129748.479604
Absorbed Iteration 93 total: 25587864.789683
Absorbed Iteration 94 total: 24138755.708955
Absorbed Iteration 95 total: 22776441.912700
Absorbed Iteration 96 total: 21495354.301234
Absorbed Iteration 97 total: 20290316.227533
Absorbed Iteration 98 total: 19156498.764671
Absorbed Iteration 99 total: 18089408.622391
Absorbed Iteration 100 total: 17084855.371198
Absorbed Iteration 101 total: 16138931.520112
Absorbed Iteration 102 total: 15247993.870301
Absorbed Iteration 103 total: 14408640.062584
Absorbed Iteration 104 total: 13617696.020599
Absorbed Iteration 105 total: 12872196.540437
Absorbed Iteration 106 total: 12169371.012838
Absorbed Iteration 107 total: 11506630.906759
Absorbed Iteration 108 total: 10881554.404915
Absorbed Iteration 109 total: 10291877.483595
Absorbed Iteration 110 total: 9735481.731776
Absorbed Iteration 111 total: 9210383.752104
Absorbed Iteration 112 total: 8714727.226601
Absorbed Iteration 113 total: 8246772.430476
Absorbed Iteration 114 total: 7804889.794878
Absorbed Iteration 115 total: 7387552.010086
Absorbed Iteration 116 total: 6993326.640023
Absorbed Iteration 117 total: 6620870.628026
Absorbed Iteration 118 total: 6268924.051688
Absorbed Iteration 119 total: 5936303.293660
Absorbed Iteration 120 total: 5621898.808234
Absorbed Iteration 121 total: 5324667.277204
Absorbed Iteration 122 total: 5043629.304968
Absorbed Iteration 123 total: 4777864.689286
Absorbed Iteration 124 total: 4526508.005142
Absorbed Iteration 125 total: 4288746.040167
Absorbed Iteration 126 total: 4063814.089193
Absorbed Iteration 127 total: 3850992.177238
Absorbed Iteration 128 total: 3649603.508647
Absorbed Iteration 129 total: 3459010.785713
Absorbed Iteration 130 total: 3278614.414483
Absorbed Iteration 131 total: 3107849.004166
Absorbed Iteration 132 total: 2946182.815414
Absorbed Iteration 133 total: 2793114.591663
Absorbed Iteration 134 total: 2648171.857326
Absorbed Iteration 135 total: 2510909.436442
Absorbed Iteration 136 total: 2380907.708207
Absorbed Iteration 137 total: 2257770.835772
